t,q1,q2,q3,q4,q5,q6,q7
0.000000,0.10000000,0.30000000,0.00000000,-0.05000000,0.00000000,0.05000000,0.00000000
0.005000,0.10000000,0.30000543,-0.00000000,-0.05001093,0.00000000,0.05000552,-0.00000000
0.010000,0.09999994,0.30001098,0.00000008,-0.05002171,0.00000000,0.05001093,0.00000012
0.015000,0.09999970,0.30001706,0.00000037,-0.05003254,-0.00000000,0.05001638,0.00000063
0.020000,0.09999918,0.30002399,0.00000101,-0.05004348,-0.00000006,0.05002186,0.00000177
0.025000,0.09999829,0.30003212,0.00000211,-0.05005462,-0.00000021,0.05002743,0.00000379
0.030000,0.09999692,0.30004176,0.00000380,-0.05006602,-0.00000048,0.05003310,0.00000693
0.035000,0.09999498,0.30005326,0.00000620,-0.05007776,-0.00000091,0.05003893,0.00001144
0.040000,0.09999236,0.30006692,0.00000943,-0.05008994,-0.00000156,0.05004495,0.00001758
0.045000,0.09998899,0.30008308,0.00001361,-0.05010264,-0.00000245,0.05005119,0.00002558
0.050000,0.09998476,0.30010207,0.00001887,-0.05011594,-0.00000365,0.05005770,0.00003570
0.055000,0.09997958,0.30012420,0.00002531,-0.05012995,-0.00000521,0.05006453,0.00004819
0.060000,0.09997336,0.30014980,0.00003305,-0.05014475,-0.00000716,0.05007171,0.00006328
0.065000,0.09996601,0.30017919,0.00004220,-0.05016046,-0.00000958,0.05007929,0.00008123
0.070000,0.09995744,0.30021268,0.00005288,-0.05017717,-0.00001251,0.05008732,0.00010229
0.075000,0.09994758,0.30025060,0.00006520,-0.05019500,-0.00001601,0.05009586,0.00012670
0.080000,0.09993632,0.30029326,0.00007927,-0.05021405,-0.00002015,0.05010495,0.00015470
0.085000,0.09992360,0.30034098,0.00009519,-0.05023444,-0.00002499,0.05011464,0.00018655
0.090000,0.09990933,0.30039408,0.00011308,-0.05025629,-0.00003059,0.05012500,0.00022248
0.095000,0.09989343,0.30045285,0.00013304,-0.05027972,-0.00003702,0.05013608,0.00026274
0.100000,0.09987582,0.30051763,0.00015517,-0.05030485,-0.00004435,0.05014794,0.00030758
0.105000,0.09985643,0.30058872,0.00017958,-0.05033181,-0.00005266,0.05016063,0.00035723
0.110000,0.09983519,0.30066642,0.00020636,-0.05036074,-0.00006201,0.05017423,0.00041195
0.115000,0.09981202,0.30075106,0.00023563,-0.05039178,-0.00007248,0.05018879,0.00047196
0.120000,0.09978685,0.30084293,0.00026747,-0.05042505,-0.00008416,0.05020439,0.00053751
0.125000,0.09975963,0.30094234,0.00030198,-0.05046072,-0.00009712,0.05022108,0.00060885
0.130000,0.09973028,0.30104961,0.00033927,-0.05049892,-0.00011144,0.05023895,0.00068620
0.135000,0.09969873,0.30116504,0.00037942,-0.05053980,-0.00012721,0.05025806,0.00076981
0.140000,0.09966495,0.30128893,0.00042253,-0.05058353,-0.00014452,0.05027849,0.00085992
0.145000,0.09962885,0.30142159,0.00046869,-0.05063027,-0.00016346,0.05030032,0.00095675
0.150000,0.09959040,0.30156332,0.00051799,-0.05068017,-0.00018412,0.05032362,0.00106055
0.155000,0.09954953,0.30171443,0.00057052,-0.05073342,-0.00020660,0.05034848,0.00117155
0.160000,0.09950620,0.30187522,0.00062638,-0.05079018,-0.00023099,0.05037498,0.00128999
0.165000,0.09946037,0.30204600,0.00068564,-0.05085064,-0.00025739,0.05040321,0.00141608
0.170000,0.09941199,0.30222706,0.00074839,-0.05091498,-0.00028591,0.05043325,0.00155007
0.175000,0.09936101,0.30241872,0.00081472,-0.05098339,-0.00031664,0.05046520,0.00169217
0.180000,0.09930741,0.30262127,0.00088470,-0.05105607,-0.00034971,0.05049915,0.00184263
0.185000,0.09925115,0.30283502,0.00095843,-0.05113321,-0.00038522,0.05053521,0.00200166
0.190000,0.09919220,0.30306027,0.00103599,-0.05121504,-0.00042327,0.05057347,0.00216949
0.195000,0.09913053,0.30329734,0.00111745,-0.05130176,-0.00046400,0.05061403,0.00234634
0.200000,0.09906612,0.30354652,0.00120289,-0.05139359,-0.00050752,0.05065700,0.00253243
0.205000,0.09899895,0.30380812,0.00129239,-0.05149077,-0.00055394,0.05070250,0.00272798
0.210000,0.09892901,0.30408245,0.00138602,-0.05159352,-0.00060340,0.05075064,0.00293321
0.215000,0.09885628,0.30436982,0.00148387,-0.05170210,-0.00065603,0.05080153,0.00314834
0.220000,0.09878076,0.30467054,0.00158601,-0.05181674,-0.00071195,0.05085531,0.00337357
0.225000,0.09870243,0.30498492,0.00169252,-0.05193772,-0.00077131,0.05091208,0.00360913
0.230000,0.09862132,0.30531328,0.00180345,-0.05206530,-0.00083424,0.05097200,0.00385521
0.235000,0.09853740,0.30565592,0.00191890,-0.05219975,-0.00090088,0.05103518,0.00411204
0.240000,0.09845071,0.30601318,0.00203894,-0.05234137,-0.00097138,0.05110178,0.00437980
0.245000,0.09836125,0.30638536,0.00216362,-0.05249044,-0.00104589,0.05117193,0.00465872
0.250000,0.09826903,0.30677280,0.00229303,-0.05264729,-0.00112456,0.05124579,0.00494898
0.255000,0.09817409,0.30717582,0.00242724,-0.05281221,-0.00120755,0.05132351,0.00525080
0.260000,0.09807646,0.30759474,0.00256631,-0.05298556,-0.00129503,0.05140526,0.00556436
0.265000,0.09797615,0.30802991,0.00271033,-0.05316765,-0.00138715,0.05149119,0.00588986
0.270000,0.09787322,0.30848166,0.00285935,-0.05335886,-0.00148410,0.05158150,0.00622749
0.275000,0.09776771,0.30895033,0.00301345,-0.05355955,-0.00158603,0.05167635,0.00657744
0.280000,0.09765967,0.30943627,0.00317270,-0.05377010,-0.00169314,0.05177594,0.00693989
0.285000,0.09754914,0.30993983,0.00333716,-0.05399090,-0.00180560,0.05188045,0.00731504
0.290000,0.09743620,0.31046136,0.00350692,-0.05422237,-0.00192360,0.05199010,0.00770305
0.295000,0.09732090,0.31100122,0.00368205,-0.05446493,-0.00204734,0.05210509,0.00810411
0.300000,0.09720333,0.31155980,0.00386260,-0.05471903,-0.00217702,0.05222564,0.00851840
0.305000,0.09708355,0.31213745,0.00404867,-0.05498513,-0.00231283,0.05235198,0.00894607
0.310000,0.09696165,0.31273456,0.00424031,-0.05526371,-0.00245498,0.05248434,0.00938730
0.315000,0.09683772,0.31335151,0.00443761,-0.05555527,-0.00260370,0.05262298,0.00984225
0.320000,0.09671187,0.31398871,0.00464064,-0.05586033,-0.00275919,0.05276814,0.01031108
0.325000,0.09658418,0.31464656,0.00484947,-0.05617942,-0.00292168,0.05292010,0.01079395
0.330000,0.09645478,0.31532547,0.00506419,-0.05651312,-0.00309141,0.05307913,0.01129101
0.335000,0.09632378,0.31602587,0.00528488,-0.05686200,-0.00326859,0.05324553,0.01180240
0.340000,0.09619130,0.31674817,0.00551160,-0.05722667,-0.00345349,0.05341959,0.01232826
0.345000,0.09605748,0.31749284,0.00574446,-0.05760778,-0.00364633,0.05360162,0.01286873
0.350000,0.09592245,0.31826031,0.00598352,-0.05800597,-0.00384737,0.05379197,0.01342395
0.355000,0.09578637,0.31905106,0.00622888,-0.05842194,-0.00405687,0.05399095,0.01399403
0.360000,0.09564939,0.31986556,0.00648063,-0.05885641,-0.00427509,0.05419894,0.01457911
0.365000,0.09551167,0.32070430,0.00673885,-0.05931011,-0.00450230,0.05441629,0.01517928
0.370000,0.09537338,0.32156778,0.00700364,-0.05978382,-0.00473877,0.05464340,0.01579467
0.375000,0.09523470,0.32245652,0.00727510,-0.06027837,-0.00498478,0.05488066,0.01642536
0.380000,0.09509582,0.32337105,0.00755331,-0.06079457,-0.00524062,0.05512850,0.01707145
0.385000,0.09495694,0.32431191,0.00783839,-0.06133333,-0.00550656,0.05538734,0.01773303
0.390000,0.09481827,0.32527966,0.00813043,-0.06189553,-0.00578290,0.05565764,0.01841016
0.395000,0.09468002,0.32627489,0.00842954,-0.06248214,-0.00606994,0.05593987,0.01910292
0.400000,0.09454243,0.32729819,0.00873582,-0.06309415,-0.00636798,0.05623452,0.01981136
0.405000,0.09440571,0.32835016,0.00904940,-0.06373258,-0.00667732,0.05654210,0.02053553
0.410000,0.09427013,0.32943145,0.00937037,-0.06439849,-0.00699827,0.05686315,0.02127546
0.415000,0.09413595,0.33054269,0.00969886,-0.06509301,-0.00733113,0.05719820,0.02203117
0.420000,0.09400342,0.33168457,0.01003499,-0.06581729,-0.00767622,0.05754784,0.02280267
0.425000,0.09387283,0.33285776,0.01037887,-0.06657251,-0.00803384,0.05791266,0.02358996
0.430000,0.09374447,0.33406298,0.01073062,-0.06735994,-0.00840430,0.05829328,0.02439301
0.435000,0.09361865,0.33530097,0.01109037,-0.06818086,-0.00878792,0.05869034,0.02521180
0.440000,0.09349568,0.33657246,0.01145825,-0.06903661,-0.00918499,0.05910450,0.02604626
0.445000,0.09337589,0.33787824,0.01183438,-0.06992857,-0.00959582,0.05953645,0.02689633
0.450000,0.09325961,0.33921910,0.01221888,-0.07085818,-0.01002070,0.05998690,0.02776192
0.455000,0.09314721,0.34059587,0.01261189,-0.07182692,-0.01045992,0.06045660,0.02864291
0.460000,0.09303905,0.34200938,0.01301352,-0.07283634,-0.01091376,0.06094629,0.02953917
0.465000,0.09293550,0.34346050,0.01342390,-0.07388800,-0.01138248,0.06145677,0.03045055
0.470000,0.09283696,0.34495011,0.01384316,-0.07498354,-0.01186634,0.06198885,0.03137686
0.475000,0.09274384,0.34647913,0.01427140,-0.07612465,-0.01236558,0.06254335,0.03231790
0.480000,0.09265656,0.34804849,0.01470876,-0.07731305,-0.01288042,0.06312114,0.03327342
0.485000,0.09257554,0.34965913,0.01515532,-0.07855051,-0.01341105,0.06372310,0.03424317
0.490000,0.09250124,0.35131202,0.01561120,-0.07983886,-0.01395764,0.06435012,0.03522685
0.495000,0.09243412,0.35300817,0.01607648,-0.08117995,-0.01452036,0.06500314,0.03622413
0.500000,0.09237464,0.35474858,0.01655126,-0.08257569,-0.01509930,0.06568308,0.03723464
0.505000,0.09232329,0.35653427,0.01703559,-0.08402801,-0.01569456,0.06639092,0.03825799
0.510000,0.09228057,0.35836629,0.01752955,-0.08553890,-0.01630617,0.06712764,0.03929374
0.515000,0.09224697,0.36024569,0.01803317,-0.08711034,-0.01693413,0.06789421,0.04034142
0.520000,0.09222303,0.36217353,0.01854649,-0.08874437,-0.01757841,0.06869165,0.04140052
0.525000,0.09220925,0.36415088,0.01906951,-0.09044304,-0.01823890,0.06952096,0.04247049
0.530000,0.09220619,0.36617883,0.01960221,-0.09220840,-0.01891546,0.07038317,0.04355073
0.535000,0.09221436,0.36825844,0.02014457,-0.09404252,-0.01960788,0.07127929,0.04464062
0.540000,0.09223432,0.37039079,0.02069652,-0.09594746,-0.02031590,0.07221035,0.04573947
0.545000,0.09226660,0.37257696,0.02125797,-0.09792529,-0.02103918,0.07317736,0.04684658
0.550000,0.09231177,0.37481800,0.02182881,-0.09997804,-0.02177734,0.07418132,0.04796119
0.555000,0.09237035,0.37711495,0.02240890,-0.10210773,-0.02252989,0.07522323,0.04908251
0.560000,0.09244289,0.37946883,0.02299805,-0.10431633,-0.02329630,0.07630406,0.05020972
0.565000,0.09252992,0.38188065,0.02359605,-0.10660577,-0.02407595,0.07742476,0.05134196
0.570000,0.09263197,0.38435137,0.02420266,-0.10897794,-0.02486816,0.07858624,0.05247832
0.575000,0.09274954,0.38688193,0.02481758,-0.11143462,-0.02567216,0.07978939,0.05361790
0.580000,0.09288313,0.38947320,0.02544052,-0.11397753,-0.02648711,0.08103505,0.05475975
0.585000,0.09303320,0.39212602,0.02607110,-0.11660832,-0.02731209,0.08232402,0.05590290
0.590000,0.09320023,0.39484119,0.02670894,-0.11932848,-0.02814613,0.08365702,0.05704639
0.595000,0.09338462,0.39761942,0.02735363,-0.12213943,-0.02898818,0.08503474,0.05818922
0.600000,0.09358679,0.40046136,0.02800470,-0.12504243,-0.02983713,0.08645779,0.05933041
0.605000,0.09380709,0.40336760,0.02866166,-0.12803861,-0.03069182,0.08792671,0.06046898
0.610000,0.09404586,0.40633863,0.02932402,-0.13112893,-0.03155103,0.08944196,0.06160397
0.615000,0.09430340,0.40937487,0.02999123,-0.13431418,-0.03241353,0.09100391,0.06273442
0.620000,0.09457996,0.41247664,0.03066274,-0.13759498,-0.03327803,0.09261283,0.06385942
0.625000,0.09487576,0.41564416,0.03133797,-0.14097175,-0.03414323,0.09426893,0.06497809
0.630000,0.09519098,0.41887755,0.03201635,-0.14444472,-0.03500782,0.09597227,0.06608957
0.635000,0.09552573,0.42217683,0.03269729,-0.14801388,-0.03587051,0.09772284,0.06719308
0.640000,0.09588011,0.42554190,0.03338021,-0.15167903,-0.03673001,0.09952051,0.06828787
0.645000,0.09625415,0.42897253,0.03406452,-0.15543973,-0.03758506,0.10136502,0.06937328
0.650000,0.09664786,0.43246841,0.03474965,-0.15929530,-0.03843443,0.10325601,0.07044870
0.655000,0.09706118,0.43602908,0.03543507,-0.16324483,-0.03927696,0.10519300,0.07151360
0.660000,0.09749403,0.43965396,0.03612024,-0.16728717,-0.04011153,0.10717539,0.07256752
0.665000,0.09794627,0.44334237,0.03680466,-0.17142093,-0.04093711,0.10920244,0.07361008
0.670000,0.09841774,0.44709348,0.03748788,-0.17564447,-0.04175274,0.11127333,0.07464100
0.675000,0.09890824,0.45090635,0.03816947,-0.17995592,-0.04255755,0.11338707,0.07566007
0.680000,0.09941753,0.45477995,0.03884904,-0.18435319,-0.04335077,0.11554260,0.07666715
0.685000,0.09994534,0.45871309,0.03952627,-0.18883393,-0.04413173,0.11773873,0.07766221
0.690000,0.10049140,0.46270450,0.04020085,-0.19339561,-0.04489986,0.11997414,0.07864527
0.695000,0.10105538,0.46675279,0.04087256,-0.19803547,-0.04565470,0.12224745,0.07961646
0.700000,0.10163696,0.47085649,0.04154120,-0.20275056,-0.04639588,0.12455714,0.08057594
0.705000,0.10223579,0.47501401,0.04220663,-0.20753775,-0.04712317,0.12690163,0.08152399
0.710000,0.10285151,0.47922372,0.04286877,-0.21239376,-0.04783642,0.12927924,0.08246091
0.715000,0.10348377,0.48348387,0.04352757,-0.21731513,-0.04853557,0.13168823,0.08338706
0.720000,0.10413220,0.48779266,0.04418303,-0.22229830,-0.04922066,0.13412680,0.08430288
0.725000,0.10479643,0.49214825,0.04483521,-0.22733959,-0.04989184,0.13659306,0.08520883
0.730000,0.10547608,0.49654873,0.04548421,-0.23243522,-0.05054932,0.13908512,0.08610540
0.735000,0.10617081,0.50099217,0.04613013,-0.23758137,-0.05119337,0.14160103,0.08699314
0.740000,0.10688025,0.50547661,0.04677316,-0.24277414,-0.05182436,0.14413882,0.08787259
0.745000,0.10760405,0.51000006,0.04741348,-0.24800962,-0.05244270,0.14669651,0.08874434
0.750000,0.10834189,0.51456054,0.04805130,-0.25328387,-0.05304883,0.14927210,0.08960897
0.755000,0.10909343,0.51915608,0.04868688,-0.25859298,-0.05364327,0.15186362,0.09046707
0.760000,0.10985836,0.52378470,0.04932046,-0.26393307,-0.05422655,0.15446910,0.09131924
0.765000,0.11063638,0.52844446,0.04995232,-0.26930029,-0.05479922,0.15708660,0.09216607
0.770000,0.11142722,0.53313344,0.05058275,-0.27469085,-0.05536186,0.15971418,0.09300815
0.775000,0.11223059,0.53784976,0.05121203,-0.28010105,-0.05591506,0.16234999,0.09384606
0.780000,0.11304625,0.54259157,0.05184046,-0.28552729,-0.05645941,0.16499219,0.09468036
0.785000,0.11387395,0.54735709,0.05246834,-0.29096604,-0.05699552,0.16763900,0.09551159
0.790000,0.11471348,0.55214458,0.05309597,-0.29641390,-0.05752397,0.17028869,0.09634028
0.795000,0.11556461,0.55695238,0.05372363,-0.30186759,-0.05804534,0.17293959,0.09716694
0.800000,0.11642715,0.56177885,0.05435161,-0.30732395,-0.05856021,0.17559012,0.09799205
0.805000,0.11730093,0.56662245,0.05498020,-0.31277998,-0.05906913,0.17823872,0.09881609
0.810000,0.11818576,0.57148170,0.05560966,-0.31823277,-0.05957263,0.18088394,0.09963949
0.815000,0.11908149,0.57635518,0.05624026,-0.32367960,-0.06007123,0.18352438,0.10046268
0.820000,0.11998797,0.58124155,0.05687225,-0.32911785,-0.06056543,0.18615871,0.10128605
0.825000,0.12090508,0.58613954,0.05750587,-0.33454509,-0.06105570,0.18878570,0.10210997
0.830000,0.12183267,0.59104793,0.05814135,-0.33995899,-0.06154249,0.19140415,0.10293479
0.835000,0.12277065,0.59596559,0.05877890,-0.34535739,-0.06202622,0.19401296,0.10376085
0.840000,0.12371890,0.60089146,0.05941872,-0.35073826,-0.06250730,0.19661108,0.10458846
0.845000,0.12467733,0.60582453,0.06006102,-0.35609970,-0.06298610,0.19919756,0.10541789
0.850000,0.12564584,0.61076387,0.06070597,-0.36143997,-0.06346298,0.20177150,0.10624942
0.855000,0.12662435,0.61570861,0.06135374,-0.36675744,-0.06393827,0.20433204,0.10708330
0.860000,0.12761280,0.62065794,0.06200449,-0.37205060,-0.06441227,0.20687843,0.10791976
0.865000,0.12861110,0.62561111,0.06265836,-0.37731809,-0.06488527,0.20940996,0.10875901
0.870000,0.12961921,0.63056743,0.06331549,-0.38255864,-0.06535754,0.21192596,0.10960124
0.875000,0.13063705,0.63552625,0.06397599,-0.38777112,-0.06582931,0.21442586,0.11044664
0.880000,0.13166458,0.64048700,0.06464000,-0.39295448,-0.06630083,0.21690910,0.11129538
0.885000,0.13270174,0.64544913,0.06530760,-0.39810779,-0.06677229,0.21937520,0.11214761
0.890000,0.13374850,0.65041215,0.06597890,-0.40323022,-0.06724388,0.22182371,0.11300346
0.895000,0.13480481,0.65537563,0.06665398,-0.40832102,-0.06771578,0.22425426,0.11386308
0.900000,0.13587063,0.66033915,0.06733292,-0.41337953,-0.06818815,0.22666648,0.11472657
0.905000,0.13694593,0.66530236,0.06801579,-0.41840518,-0.06866112,0.22906007,0.11559404
0.910000,0.13803067,0.67026492,0.06870266,-0.42339748,-0.06913483,0.23143477,0.11646560
0.915000,0.13912484,0.67522655,0.06939359,-0.42835600,-0.06960940,0.23379033,0.11734132
0.920000,0.14022839,0.68018699,0.07008862,-0.43328038,-0.07008493,0.23612657,0.11822128
0.925000,0.14134131,0.68514600,0.07078780,-0.43817034,-0.07056152,0.23844332,0.11910557
0.930000,0.14246358,0.69010339,0.07149118,-0.44302564,-0.07103924,0.24074044,0.11999424
0.935000,0.14359516,0.69505898,0.07219878,-0.44784611,-0.07151818,0.24301783,0.12088735
0.940000,0.14473604,0.70001262,0.07291063,-0.45263161,-0.07199840,0.24527541,0.12178495
0.945000,0.14588621,0.70496418,0.07362678,-0.45738208,-0.07247995,0.24751311,0.12268709
0.950000,0.14704564,0.70991356,0.07434722,-0.46209747,-0.07296289,0.24973091,0.12359380
0.955000,0.14821432,0.71486065,0.07507200,-0.46677780,-0.07344725,0.25192879,0.12450513
0.960000,0.14939223,0.71980540,0.07580111,-0.47142310,-0.07393309,0.25410676,0.12542110
0.965000,0.15057935,0.72474773,0.07653458,-0.47603345,-0.07442041,0.25626483,0.12634174
0.970000,0.15177568,0.72968762,0.07727240,-0.48060897,-0.07490926,0.25840305,0.12726707
0.975000,0.15298121,0.73462502,0.07801460,-0.48514978,-0.07539964,0.26052147,0.12819712
0.980000,0.15419590,0.73955993,0.07876117,-0.48965605,-0.07589158,0.26262015,0.12913189
0.985000,0.15541977,0.74449232,0.07951212,-0.49412797,-0.07638509,0.26469918,0.13007140
0.990000,0.15665279,0.74942220,0.08026745,-0.49856574,-0.07688017,0.26675863,0.13101566
0.995000,0.15789494,0.75434958,0.08102715,-0.50296959,-0.07737683,0.26879862,0.13196468
